X1,X2,Alignment
-8.995256,3.6956408,1.0
3.4840279,6.8435307,1.0
-6.686879,11.612672,1.0
14.9637165,12.962815,1.0
15.031885,15.605162,2.0
22.197123,16.56394,2.0
2.3081207,12.142901,1.0
-8.640638,-30.159071,1.0
-5.491529,-31.780598,1.0
-16.006025,-6.255541,1.0
8.544512,14.883363,1.0
19.509653,14.276375,2.0
11.029712,13.946344,1.0
-5.264295,-29.826567,1.0
-15.976527,-0.6768511,1.0
-4.651851,-30.029903,1.0
23.745052,17.659822,2.0
26.969906,-19.133793,2.0
-7.268803,-31.375195,1.0
-4.0351305,2.053429,1.0
-12.479395,1.4169048,1.0
25.756826,-19.629114,2.0
8.885471,14.155547,1.0
11.346574,10.87744,2.0
-13.820398,3.7421722,1.0
-15.373643,0.62428564,1.0
19.767952,17.462547,2.0
25.45526,-18.96123,2.0
19.546087,17.357513,
-16.1425,-4.3201303,2.0
7.6209955,13.102271,1.0
14.540927,14.591293,1.0
-8.769078,-29.007992,1.0
-2.911669,2.4053519,1.0
-0.21443632,6.934788,1.0
14.956435,15.766152,2.0
-13.393332,-1.5229057,1.0
3.73255,8.631323,1.0
-9.167535,-30.049608,1.0
-6.3319173,-28.792772,1.0
10.717565,12.439541,1.0
-5.896404,-29.01306,1.0
-14.445112,-0.24694693,1.0
-7.581135,-28.395252,1.0
-4.785135,-30.576693,1.0
-4.8579946,-29.451643,1.0
-5.8679037,-29.339058,1.0
0.8564554,14.416945,1.0
7.6274285,14.878449,1.0
-10.461693,6.6687,2.0
-8.780744,-31.71709,1.0
6.7071147,10.981892,1.0
-2.6951854,9.306013,2.0
-8.159104,3.7044513,1.0
-8.378629,-28.886791,1.0
-9.730342,-30.738445,1.0
-7.7434077,-31.788172,1.0
-5.711796,11.987244,1.0
-6.329711,-32.431118,1.0
-10.574153,7.5372276,1.0
-6.06,12.792026,1.0
-6.841949,11.362183,1.0
5.033986,9.837713,1.0
-9.233867,-28.568466,1.0
6.206731,10.96567,1.0
1.068476,12.025483,1.0
25.621605,-17.79262,1.0
-13.8059635,-2.6790721,2.0
17.43206,16.001791,1.0
18.797012,17.15476,1.0
10.042016,11.41112,1.0
-14.780349,-0.38978964,1.0
