county_name,physically_unhealthy_days,mentally_unhealthy_days,air_quality_score_rating,food_environment_index,percent_poor_health,life_expectancy,percent_physical_distress,percent_mental_distress,allowable_count
Alamance,4.1133897039,4.0615290111,10.5,7.1,17.954704364,77.463784854,12.789519636,12.991941864,0
Alexander,3.9306007266,4.0862960785,10.1,8.2,15.920837424,77.146334654,12.042056824,12.64790051,0
Alleghany,4.4217645119,4.3936263065,8.7,8,18.949304349,78.226761154,13.782640493,13.974708161,0
Anson,4.5676184097,4.3910868782,10.2,6.5,22.774451061,74.183934645,14.535490316,14.13761158,8336
Ashe,4.1317649177,4.1031839631,8.5,8.1,15.809505842,78.741459152,12.50539854,12.870771852,0
Avery,4.0910430318,4.139821632,8.5,8.4,16.6476292,77.82964548,12.520442698,12.847703139,0
Beaufort,4.2656732316,4.2524445756,9.2,7.3,18.956978723,75.882278798,13.260693647,13.621742116,2245
Bertie,4.4885311411,4.2974752446,9.1,6.3,22.609442574,76.289400168,14.282390712,13.989007143,6544
Bladen,4.6067840101,4.4394985992,10,6.8,20.764327341,75.049638169,14.561716769,14.399587875,63180
Brunswick,3.8762823341,3.9787653802,9.3,7.7,16.415902592,78.632808222,11.898415062,12.274530874,0
Buncombe,3.8551298972,4.1121226304,9,7.7,14.473508476,78.596962484,11.622916268,12.615815754,0
Burke,4.0934835091,4.1299718696,10.1,6.9,17.014349433,76.486141551,12.772927421,13.171927518,0
Cabarrus,3.4899424936,3.7427972513,11,7.8,14.730247494,78.55974336,10.874458746,11.607239035,0
Caldwell,4.1163201824,4.1630504549,9.9,6.7,16.668500024,76.019160811,12.664274004,13.096168176,0
Camden,3.5504459896,3.7555797592,8.4,8.5,13.768789332,79.483548169,10.517238173,11.377152156,0
Carteret,3.9206883043,4.1895301195,8.7,7.8,15.936653387,77.696220114,11.868180103,12.565017092,0
Caswell,4.1668369043,4.181045524,10.2,7.1,18.900556514,75.925649709,13.088891395,13.205834801,0
Catawba,3.8813864718,4.0328480752,10.5,7.7,15.393386824,76.586628593,11.934368897,12.38122365,0
Chatham,3.7780271926,3.879067339,10.3,8.4,15.493605698,81.7298371,11.436164396,11.988426176,0
Cherokee,4.2617505625,4.3453741993,9,8,17.302028834,76.666769456,12.897591137,13.456708529,0
Chowan,4.5339704975,4.3335928714,8.6,6.2,20.64132206,76.567850262,14.337570204,14.105888647,0
Clay,4.1935195577,4.3242134677,8.5,8.1,17.070928132,76.354650145,13.002554701,13.536837554,0
Cleveland,4.2138072623,4.3274043058,10.6,7,17.910785155,74.353865623,13.239916326,13.76502995,0
Columbus,4.5470207304,4.4240996505,9.7,7.1,21.97416485,74.23425866,14.434733141,14.284448091,12408
